fiyat_tl,puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,temel_donanim_cpu_üretim_teknolojisi,tasarim_kalınlık,tasarim_ağırlık,özelli̇kler_suya_dayanıklılık,temel_bi̇lgi̇ler_çıkış_yılı
78239.04,93.0,6.9 İnç,Dynamic AMOLED,1440x3120 (QHD+) Piksel,120 Hz,5000 mAh,45 W,Var,200 MP,Var,12 MP,Qualcomm Snapdragon 8 Elite,12 GB,256 GB,3 nm,8.2 mm,218 Gram,Var,2025
16320.0,66.0,6.5 İnç,Super AMOLED,1080x2400 (FHD+) Piksel,120 Hz,4500 mAh,25 W,Var,12 MP,Var,32 MP,Qualcomm Snapdragon 865 (SM8250),6 GB,128 GB,7 nm,8.4 mm,190 Gram,Var,2020
21389.93,78.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,120 Hz,6000 mAh,90 W,Yok,50 MP,Var,20 MP,MediaTek Dimensity 8400,8 GB,256 GB,4 nm,8.29 mm,195 Gram,Var,2025
14299.0,63.0,6.7 İnç,Super AMOLED,1080x2340 (FHD+) Piksel,120 Hz,5000 mAh,25 W,Yok,50 MP,Var,13 MP,Samsung Exynos 1380,8 GB,256 GB,5 nm,7.7 mm,200 Gram,Var,2025
16399.0,69.0,6.4 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,4500 mAh,25 W,Var,12 MP,Var,32 MP,Qualcomm Snapdragon 888 (SM8350),8 GB,128 GB,5 nm,7.9 mm,177 Gram,Var,2022
14396.3,62.0,6.67 İnç,AMOLED,1080x2400 (FHD+) Piksel,120 Hz,5000 mAh,67 W,Yok,200 MP,Var,16 MP,MediaTek Helio G99 (MT6789),8 GB,256 GB,6 nm,7.98 mm,188 Gram,Var,2024
34999.0,87.0,6.7 İnç,AMOLED,1280x2800 (FHD+) Piksel,120 Hz,6000 mAh,100 W,Var,200 MP,Var,50 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),12 GB,512 GB,4 nm,8.1 mm,205 Gram,Var,2025
12221.03,63.0,6.67 İnç,AMOLED,1080x2400 (FHD+) Piksel,120 Hz,5000 mAh,67 W,Yok,50 MP,Var,16 MP,MediaTek Dimensity 1080 (MT6877V/TTZA),8 GB,256 GB,6 nm,7.9 mm,187 Gram,Var,2022
21883.2,72.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,120 Hz,5000 mAh,120 W,Yok,200 MP,Var,16 MP,MediaTek Dimensity 7200,12 GB,512 GB,4 nm,8.9 mm,204.5 Gram,Var,2023
44999.0,69.0,6.1 İnç,OLED,1170x2532 (FHD+) Piksel,60 Hz,3279 mAh,20 W,Var,12 MP,Var,12 MP,Apple A15 Bionic,6 GB,128 GB,5 nm,7.8 mm,172 Gram,Var,2022
43754.0,92.0,6.83 İnç,AMOLED,1280x2772 (FHD+) Piksel,144 Hz,5500 mAh,90 W,Var,50 MP,Var,32 MP,MediaTek Dimensity 9400+,12 GB,256 GB,3 nm,7.96 mm,210 Gram,Var,2025
17343.99,66.0,6.7 İnç,Super AMOLED,1080x2340 (FHD+) Piksel,120 Hz,5000 mAh,45 W,Yok,50 MP,Var,12 MP,Qualcomm Snapdragon 6 Gen 3 (SM6475-AB),8 GB,256 GB,4 nm,7.4 mm,195 Gram,Var,2025
114999.0,88.0,6.7 İnç,OLED,1290x2796 (FHD+) Piksel,120 Hz,4441 mAh,20 W,Var,48 MP,Var,12 MP,Apple A17 Pro,8 GB,256 GB,3 nm,8.25 mm,221 Gram,Var,2023
18059.0,69.0,6.4 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,4500 mAh,25 W,Var,12 MP,Var,32 MP,Samsung Exynos 2100,8 GB,128 GB,5 nm,7.9 mm,177 Gram,Var,2022
39999.0,77.0,6.1 İnç,OLED,1170x2532 (FHD+) Piksel,60 Hz,4005 mAh,20 W,Var,48 MP,Var,12 MP,Apple A18,8 GB,128 GB,3 nm,7.8 mm,167 Gram,Var,2025
46999.0,87.0,6.2 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,4000 mAh,25 W,Var,50 MP,Var,12 MP,Qualcomm Snapdragon 8 Elite,12 GB,256 GB,3 nm,7.2 mm,162 Gram,Var,2025
37149.06,88.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,144 Hz,5000 mAh,120 W,Var,50 MP,Var,32 MP,MediaTek Dimensity 9300+,12 GB,512 GB,4 nm,8.39 mm,209 Gram,Var,2024
74880.0,83.0,6.7 İnç,OLED,1290x2796 (FHD+) Piksel,60 Hz,4674 mAh,30 W,Var,48 MP,Var,12 MP,Apple A18,8 GB,256 GB,3 nm,7.8 mm,199 Gram,Var,2024
24960.0,53.0,6.1 İnç,IPS LCD,828x1792 (HD+) Piksel,60 Hz,3110 mAh,20 W,Var,12 MP,Var,12 MP,Apple A13 Bionic,4 GB,64 GB,7 nm,8.3 mm,194 Gram,Var,2019
9599.0,51.0,6.79 İnç,IPS LCD,1080x2460 (FHD+) Piksel,90 Hz,5030 mAh,33 W,Yok,108 MP,Yok,13 MP,MediaTek Helio G91,8 GB,256 GB,12 nm,8.3 mm,205 Gram,Var,2024
28910.76,80.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,144 Hz,5000 mAh,67 W,Yok,50 MP,Var,32 MP,MediaTek Dimensity 8300,12 GB,256 GB,4 nm,7.8 mm,195 Gram,Var,2024
82999.0,91.0,6.3 İnç,OLED,1206x2622 (FHD+) Piksel,120 Hz,3582 mAh,25 W,Var,48 MP,Var,12 MP,Apple A18 Pro,8 GB,256 GB,3 nm,8.25 mm,199 Gram,Var,2024
20640.0,66.0,6.6 İnç,Super AMOLED,1080x2340 (FHD+) Piksel,120 Hz,5000 mAh,25 W,Yok,50 MP,Var,32 MP,Samsung Exynos 1480,8 GB,128 GB,4 nm,8.2 mm,213 Gram,Var,2024
21812.5,70.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,120 Hz,5100 mAh,67 W,Yok,200 MP,Var,16 MP,Qualcomm Snapdragon 7s Gen 2 (SM7435-AB),12 GB,512 GB,4 nm,7.98 mm,187 Gram,Var,2023
39883.75,87.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,144 Hz,5000 mAh,120 W,Var,50 MP,Var,32 MP,MediaTek Dimensity 9300+,12 GB,256 GB,4 nm,8.39 mm,209 Gram,Var,2024
30469.52,80.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,144 Hz,5000 mAh,120 W,Yok,50 MP,Var,20 MP,MediaTek Dimensity 9200+,12 GB,512 GB,4 nm,8.62 mm,206 Gram,Var,2023
10499.0,59.0,6.78 İnç,AMOLED,1080x2436 (FHD+) Piksel,120 Hz,5000 mAh,70 W,Yok,50 MP,Var,50 MP,MediaTek Helio G99 (MT6789),8 GB,256 GB,6 nm,7.7 mm,190 Gram,Yok,2024
8799.0,52.0,6.72 İnç,IPS LCD,1080x2400 (FHD+) Piksel,90 Hz,5000 mAh,33 W,Yok,108 MP,Yok,8 MP,Qualcomm Snapdragon 685 (SM6225-AD),8 GB,256 GB,6 nm,7.59 mm,185 Gram,Var,2024
