urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,ekran_ekran_dayanıklılığı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık,özelli̇kler_suya_dayanıklılık_seviyesi
21389.93,78,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,6000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.700.100 Puan,8 GB,256 GB,8.29 mm,195 Gram,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
14299.00,63,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,13 MP,Samsung Exynos 1380,8 Çekirdek,5 nm,599.200 Puan,8 GB,256 GB,7.7 mm,200 Gram,Cam,Var,5.3,Var,Android,Var,IPX7
52999.00,90,6.78 İnç,OLED,FHD+,120 Hz,,6500 mAh,Var,120 W,Yok,50 MP,Var,4320p (Ultra HD) 8K,24 fps,16 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.802.400 Puan,12 GB,512 GB,8.55 mm,222.8 Gram,Cam,Var,5.4,Var,Android,Var,IPX9
12799.00,55,6.7 İnç,Super AMOLED,FHD+,90 Hz,,5000 mAh,Var,25 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,13 MP,Samsung Exynos 1330,8 Çekirdek,5 nm,435.900 Puan,8 GB,256 GB,7.9 mm,200 Gram,Plastik (Cam Görünümlü),Var,5.3,Var,Android,Var,IPX4
79999.00,73,6.1 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass,3095 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A15 Bionic,6 Çekirdek,5 nm,1.484.600 Puan,6 GB,128 GB,7.65 mm,204 Gram,Cam,Var,5.0,Var,iOS,Var,IPX8
21999.00,,6.79 İnç,AMOLED,FHD+,120 Hz,,7500 mAh,Var,66 W,Yok,108 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 6 Gen 4 (SM6650),8 Çekirdek,4 nm,754.200 Puan,8 GB,256 GB,7.76 mm,189 Gram,Plastik (Cam Görünümlü),Var,5.2,Var,Android,Var,IPX9K
30700.50,,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,6500 mAh,Var,100 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,32 MP,Qualcomm Snapdragon 7s Gen 4 (SM7635-AC),8 Çekirdek,4 nm,,8 GB,256 GB,8.47 mm,207.1 Gram,,Var,5.4,Var,Android,Var,IPX9K
78719.04,94,6.9 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Armor 2,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.551.600 Puan,12 GB,512 GB,8.2 mm,218 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
39899.00,72,6.1 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,3700 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,24 fps,10 MP,Qualcomm Snapdragon 8 Gen 1 (SM8450),8 Çekirdek,4 nm,1.206.700 Puan,8 GB,128 GB,7.6 mm,168 Gram,Cam,Var,5.2,Var,Android,Var,IPX8
34999.00,76,6.1 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,3900 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Gen 2 (SM8550-AB),8 Çekirdek,4 nm,1.524.200 Puan,8 GB,128 GB,7.6 mm,168 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
13424.20,60,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,108 MP,Yok,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 732G (SM7150-AC),8 Çekirdek,8 nm,379.100 Puan,8 GB,256 GB,8.12 mm,201.8 Gram,Cam,Yok,5.0,Var,Android,Var,IPX3
14616.50,60,6.78 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 7i,5160 mAh,Var,45 W,Yok,50 MP,Yok,1440p (Quad HD) 2K,30 fps,13 MP,MediaTek Dimensity 6400,8 Çekirdek,6 nm,449.900 Puan,8 GB,256 GB,6.09 mm,156 Gram,,Var,5.4,Var,Android,Var,IPX4
30145.00,85,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.640.700 Puan,12 GB,512 GB,7.5 mm,194 Gram,Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
9946.33,56,6.67 İnç,IPS LCD,FHD+,120 Hz,Corning Gorilla Glass 6,5160 mAh,Var,33 W,Yok,48 MP,Yok,2160p (Ultra HD) 4K,30 fps,20 MP,Qualcomm Snapdragon 860,8 Çekirdek,7 nm,666.600 Puan,6 GB,128 GB,9.4 mm,215 Gram,Plastik (Cam Görünümlü),Yok,5.0,Var,Android,Var,IPX3
26899.00,,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,6580 mAh,Var,45 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,20 MP,MediaTek Dimensity 7400,8 Çekirdek,4 nm,,8 GB,256 GB,7.96 mm,210 Gram,,Var,5.4,Var,Android,Var,IPX9K
9786.03,55,6.7 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,33 W,Yok,50 MP,Yok,1440p (Quad HD) 2K,30 fps,16 MP,MediaTek Helio G99 (MT6789),8 Çekirdek,6 nm,415.200 Puan,8 GB,256 GB,7.96 mm,188 Gram,Cam,Yok,5.2,Var,Android,Yok,
59424.00,83,6.8 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Victus 2,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Gen 2 (SM8550-AB),8 Çekirdek,4 nm,1.542.300 Puan,8 GB,256 GB,8.9 mm,233 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
54389.00,96,6.36 İnç,AMOLED,FHD+,120 Hz,Xiaomi Shield Glass,5240 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.692.300 Puan,12 GB,512 GB,8.08 mm,191 Gram,,Var,6.0,Var,Android,Var,IPX8
84999.00,,6.78 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,7500 mAh,Var,80 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,MediaTek Dimensity 9500,8 Çekirdek,3 nm,2.719.600 Puan,16 GB,512 GB,8.25 mm,224 Gram,,Var,6.0,Var,Android,Var,IPX9
10449.05,57,6.78 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass,5000 mAh,Var,33 W,Yok,50 MP,Var,1440p (Quad HD) 2K,30 fps,13 MP,MediaTek Helio G100,8 Çekirdek,6 nm,412.400 Puan,8 GB,256 GB,7.62 mm,180 Gram,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,Var,IPX3
18199.00,69,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,5100 mAh,Var,67 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 7s Gen 2 (SM7435-AB),8 Çekirdek,4 nm,601.700 Puan,12 GB,256 GB,7.98 mm,187 Gram,Cam,Var,5.2,Var,Android,Var,IPX4
69197.58,93,6.73 İnç,AMOLED,QHD+,120 Hz,Xiaomi Shield Glass,5000 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,2.114.700 Puan,16 GB,512 GB,9.2 mm,219.8 Gram,Cam | Kauçuk/Plastik (Deri Görünümlü),Var,5.4,Var,Android,Var,IPX8
33699.00,83,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.640.700 Puan,12 GB,256 GB,7.5 mm,194 Gram,Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
12399.95,60,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,25 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,13 MP,Samsung Exynos 1380,8 Çekirdek,5 nm,583.300 Puan,6 GB,128 GB,7.7 mm,200 Gram,Cam,Var,5.3,Var,Android,Var,IPX7
14996.04,64,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,120 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,MediaTek Dimensity 1080 (MT6877V/TTZA),8 Çekirdek,6 nm,538.400 Puan,8 GB,256 GB,8.98 mm,210.5 Gram,,Var,5.2,Var,Android,Var,IPX3
22499.00,74,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,64 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,MediaTek Dimensity 8300,8 Çekirdek,4 nm,1.495.700 Puan,12 GB,512 GB,8.35 mm,190 Gram,Plastik (Cam Görünümlü),Var,5.4,Var,Android,Var,IPX4
,81,6.7 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass,4323 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A16 Bionic,6 Çekirdek,4 nm,1.761.400 Puan,6 GB,128 GB,7.85 mm,240 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
102000.00,83,6.7 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass,4323 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A16 Bionic,6 Çekirdek,4 nm,1.761.400 Puan,6 GB,256 GB,7.85 mm,240 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
8775.00,51,6.72 İnç,IPS LCD,FHD+,90 Hz,ArmorShell Tempered Glass,5828 mAh,Var,45 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,MediaTek Helio G92,8 Çekirdek,12 nm,279.100 Puan,8 GB,128 GB,7.99 mm,196 Gram,Plastik (Cam Görünümlü),Yok,5.0,Var,Android,Var,IPX9
14801.55,57,6.67 İnç,Super AMOLED,FHD+,120 Hz,Dragontrail Pro,5000 mAh,Var,33 W,Yok,50 MP,Yok,2160p (Ultra HD) 4K,30 fps,16 MP,MediaTek Dimensity 7300,8 Çekirdek,4 nm,646.600 Puan,8 GB,128 GB,9 mm,197 Gram,Plastik,Var,5.3,Yok,Android,Var,IPX2
17429.00,,6.57 İnç,AMOLED,FHD+,120 Hz,AGC Dragontrail DT-STAR D+,7000 mAh,Var,80 W,Yok,50 MP,Yok,1080p (Full HD),60 fps,16 MP,MediaTek Dimensity 6300,8 Çekirdek,6 nm,,8 GB,256 GB,8 mm,185 Gram,,Var,5.4,Var,Android,Var,IPX9
24490.56,75,6.67 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,20 MP,MediaTek Dimensity 8200,8 Çekirdek,4 nm,934.100 Puan,12 GB,256 GB,8.62 mm,197 Gram,Cam | Kauçuk/Plastik (Deri Görünümlü),Var,5.4,Var,Android,Var,IPX8
24449.00,73,6.74 İnç,AMOLED,FHD+,120 Hz,,5000 mAh,Var,80 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,16 MP,MediaTek Dimensity 9000,8 Çekirdek,4 nm,915.200 Puan,16 GB,256 GB,8.1 mm,193.5 Gram,Cam,Var,5.3,Var,Android,Var,IPX4
72000.00,89,6.8 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Armor,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,2.043.500 Puan,12 GB,512 GB,8.6 mm,232 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
21769.46,75,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,5000 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,Qualcomm Snapdragon 8s Gen 3 (SM8635),8 Çekirdek,4 nm,1.510.100 Puan,12 GB,512 GB,7.8 mm,179 Gram,Plastik (Cam Görünümlü),Var,5.4,Var,Android,Var,IPX4
16320.00,66,6.5 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass 3,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Qualcomm Snapdragon 865 (SM8250),8 Çekirdek,7 nm,802.900 Puan,6 GB,128 GB,8.4 mm,190 Gram,Polimer (Cam Görünümlü),Yok,5.0,Var,Android,Var,IPX8
12299.00,54,6.9 İnç,IPS LCD,HD+,120 Hz,,6000 mAh,Var,33 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,MediaTek Dimensity 6300,8 Çekirdek,6 nm,419.900 Puan,8 GB,256 GB,8.2 mm,211 Gram,Plastik (Cam Görünümlü),Var,5.4,Var,Android,Var,IPX4
53974.00,88,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Ceramic 2,3900 mAh,Var,25 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.161.200 Puan,12 GB,512 GB,5.8 mm,163 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
52999.00,90,6.78 İnç,OLED,FHD+,120 Hz,,6500 mAh,Var,120 W,Yok,50 MP,Var,4320p (Ultra HD) 8K,24 fps,16 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.802.400 Puan,12 GB,512 GB,8.55 mm,222.8 Gram,Cam,Var,5.4,Var,Android,Var,IPX9
12799.00,55,6.7 İnç,Super AMOLED,FHD+,90 Hz,,5000 mAh,Var,25 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,13 MP,Samsung Exynos 1330,8 Çekirdek,5 nm,435.900 Puan,8 GB,256 GB,7.9 mm,200 Gram,Plastik (Cam Görünümlü),Var,5.3,Var,Android,Var,IPX4
79999.00,73,6.1 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass,3095 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A15 Bionic,6 Çekirdek,5 nm,1.484.600 Puan,6 GB,128 GB,7.65 mm,204 Gram,Cam,Var,5.0,Var,iOS,Var,IPX8
21999.00,,6.79 İnç,AMOLED,FHD+,120 Hz,,7500 mAh,Var,66 W,Yok,108 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 6 Gen 4 (SM6650),8 Çekirdek,4 nm,754.200 Puan,8 GB,256 GB,7.76 mm,189 Gram,Plastik (Cam Görünümlü),Var,5.2,Var,Android,Var,IPX9K
30700.50,,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,6500 mAh,Var,100 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,32 MP,Qualcomm Snapdragon 7s Gen 4 (SM7635-AC),8 Çekirdek,4 nm,,8 GB,256 GB,8.47 mm,207.1 Gram,,Var,5.4,Var,Android,Var,IPX9K
39899.00,72,6.1 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,3700 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,24 fps,10 MP,Qualcomm Snapdragon 8 Gen 1 (SM8450),8 Çekirdek,4 nm,1.206.700 Puan,8 GB,128 GB,7.6 mm,168 Gram,Cam,Var,5.2,Var,Android,Var,IPX8
34999.00,76,6.1 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,3900 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Gen 2 (SM8550-AB),8 Çekirdek,4 nm,1.524.200 Puan,8 GB,128 GB,7.6 mm,168 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
13424.20,60,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,67 W,Yok,108 MP,Yok,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 732G (SM7150-AC),8 Çekirdek,8 nm,379.100 Puan,8 GB,256 GB,8.12 mm,201.8 Gram,Cam,Yok,5.0,Var,Android,Var,IPX3
14616.50,60,6.78 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 7i,5160 mAh,Var,45 W,Yok,50 MP,Yok,1440p (Quad HD) 2K,30 fps,13 MP,MediaTek Dimensity 6400,8 Çekirdek,6 nm,449.900 Puan,8 GB,256 GB,6.09 mm,156 Gram,,Var,5.4,Var,Android,Var,IPX4
61424.03,81,6.9 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,4300 mAh,Var,25 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,10 MP,Samsung Exynos 2500,10 Çekirdek,3 nm,1.943.900 Puan,12 GB,256 GB,6.5 mm,188 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
41272.46,83,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,6500 mAh,Var,90 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,20 MP,Qualcomm Snapdragon 8s Gen 4 (SM8735),8 Çekirdek,4 nm,2.024.800 Puan,12 GB,512 GB,8.2 mm,215.7 Gram,Cam,Var,6.0,Var,Android,Var,IPX8
30145.00,85,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.640.700 Puan,12 GB,512 GB,7.5 mm,194 Gram,Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
99999.00,,6.62 İnç,AMOLED,FHD+,120 Hz,Oppo Ultra-Thin Nanocrystal Glass,5600 mAh,Var,80 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,8 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,,16 GB,512 GB,8.93 mm,229 Gram,,Var,5.4,Var,Android,Var,IPX9
9946.33,56,6.67 İnç,IPS LCD,FHD+,120 Hz,Corning Gorilla Glass 6,5160 mAh,Var,33 W,Yok,48 MP,Yok,2160p (Ultra HD) 4K,30 fps,20 MP,Qualcomm Snapdragon 860,8 Çekirdek,7 nm,666.600 Puan,6 GB,128 GB,9.4 mm,215 Gram,Plastik (Cam Görünümlü),Yok,5.0,Var,Android,Var,IPX3
29999.00,71,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,5110 mAh,Var,45 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,20 MP,MediaTek Dimensity 7300,8 Çekirdek,4 nm,684.300 Puan,12 GB,512 GB,8.4 mm,190 Gram,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Var,5.4,Var,Android,Var,IPX8
26899.00,,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,6580 mAh,Var,45 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,20 MP,MediaTek Dimensity 7400,8 Çekirdek,4 nm,,8 GB,256 GB,7.96 mm,210 Gram,,Var,5.4,Var,Android,Var,IPX9K
13368.34,,6.78 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 7i,5200 mAh,Var,45 W,Yok,50 MP,Yok,1440p (Quad HD) 2K,30 fps,13 MP,MediaTek Helio G100,8 Çekirdek,6 nm,446.000 Puan,8 GB,256 GB,6.69 mm,170 Gram,Plastik (Cam Görünümlü),Yok,5.4,Var,Android,Var,IPX4
9786.03,55,6.7 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,33 W,Yok,50 MP,Yok,1440p (Quad HD) 2K,30 fps,16 MP,MediaTek Helio G99 (MT6789),8 Çekirdek,6 nm,415.200 Puan,8 GB,256 GB,7.96 mm,188 Gram,Cam,Yok,5.2,Var,Android,Yok,
59424.00,83,6.8 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Victus 2,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Gen 2 (SM8550-AB),8 Çekirdek,4 nm,1.542.300 Puan,8 GB,256 GB,8.9 mm,233 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
84999.00,,6.78 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,7500 mAh,Var,80 W,Var,50 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,MediaTek Dimensity 9500,8 Çekirdek,3 nm,2.719.600 Puan,16 GB,512 GB,8.25 mm,224 Gram,,Var,6.0,Var,Android,Var,IPX9
10449.05,57,6.78 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass,5000 mAh,Var,33 W,Yok,50 MP,Var,1440p (Quad HD) 2K,30 fps,13 MP,MediaTek Helio G100,8 Çekirdek,6 nm,412.400 Puan,8 GB,256 GB,7.62 mm,180 Gram,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,Var,IPX3
18199.00,69,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,5100 mAh,Var,67 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,Qualcomm Snapdragon 7s Gen 2 (SM7435-AB),8 Çekirdek,4 nm,601.700 Puan,12 GB,256 GB,7.98 mm,187 Gram,Cam,Var,5.2,Var,Android,Var,IPX4
69197.58,93,6.73 İnç,AMOLED,QHD+,120 Hz,Xiaomi Shield Glass,5000 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,2.114.700 Puan,16 GB,512 GB,9.2 mm,219.8 Gram,Cam | Kauçuk/Plastik (Deri Görünümlü),Var,5.4,Var,Android,Var,IPX8
33699.00,83,6.83 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,67 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,MediaTek Dimensity 8400,8 Çekirdek,4 nm,1.640.700 Puan,12 GB,256 GB,7.5 mm,194 Gram,Plastik (Cam Görünümlü),Var,6.0,Var,Android,Var,IPX8
14996.04,64,6.67 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 5,5000 mAh,Var,120 W,Yok,200 MP,Var,2160p (Ultra HD) 4K,30 fps,16 MP,MediaTek Dimensity 1080 (MT6877V/TTZA),8 Çekirdek,6 nm,538.400 Puan,8 GB,256 GB,8.98 mm,210.5 Gram,,Var,5.2,Var,Android,Var,IPX3
8600.48,,6.74 İnç,IPS LCD,HD+,120 Hz,Panda Glass,5000 mAh,Var,18 W,Yok,50 MP,Yok,,,8 MP,MediaTek Dimensity 6400,8 Çekirdek,6 nm,,8 GB,128 GB,8.3 mm,206 Gram,,Var,5.0,Var,Android,,
16320.00,66,6.5 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass 3,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Qualcomm Snapdragon 865 (SM8250),8 Çekirdek,7 nm,802.900 Puan,6 GB,128 GB,8.4 mm,190 Gram,Polimer (Cam Görünümlü),Yok,5.0,Var,Android,Var,IPX8
12299.00,54,6.9 İnç,IPS LCD,HD+,120 Hz,,6000 mAh,Var,33 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,8 MP,MediaTek Dimensity 6300,8 Çekirdek,6 nm,419.900 Puan,8 GB,256 GB,8.2 mm,211 Gram,Plastik (Cam Görünümlü),Var,5.4,Var,Android,Var,IPX4
53974.00,88,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Ceramic 2,3900 mAh,Var,25 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.161.200 Puan,12 GB,512 GB,5.8 mm,163 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
52999.00,90,6.78 İnç,OLED,FHD+,120 Hz,,6500 mAh,Var,120 W,Yok,50 MP,Var,4320p (Ultra HD) 8K,24 fps,16 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.802.400 Puan,12 GB,512 GB,8.55 mm,222.8 Gram,Cam,Var,5.4,Var,Android,Var,IPX9
12799.00,55,6.7 İnç,Super AMOLED,FHD+,90 Hz,,5000 mAh,Var,25 W,Yok,50 MP,Yok,1080p (Full HD),30 fps,13 MP,Samsung Exynos 1330,8 Çekirdek,5 nm,435.900 Puan,8 GB,256 GB,7.9 mm,200 Gram,Plastik (Cam Görünümlü),Var,5.3,Var,Android,Var,IPX4
79999.00,73,6.1 İnç,OLED,FHD+,120 Hz,Corning Ceramic Shield Glass,3095 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A15 Bionic,6 Çekirdek,5 nm,1.484.600 Puan,6 GB,128 GB,7.65 mm,204 Gram,Cam,Var,5.0,Var,iOS,Var,IPX8
42999.00,,6.59 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass 7i,6210 mAh,Var,100 W,Yok,50 MP,Var,4320p (Ultra HD) 8K,30 fps,20 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,,12 GB,256 GB,8 mm,199 Gram,,Var,5.4,Var,Android,Var,IPX8
