urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,ekran_ekran_dayanıklılığı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık,özelli̇kler_suya_dayanıklılık_seviyesi
34999.00,87,6.7 İnç,AMOLED,FHD+,120 Hz,,6000 mAh,Var,100 W,Var,200 MP,Var,2160p (Ultra HD) 4K,60 fps,50 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,1.902.700 Puan,12 GB,512 GB,8.1 mm,205 Gram,,Var,5.4,Var,Android,Var,IPX9
43754.00,92,6.83 İnç,AMOLED,FHD+,144 Hz,Corning Gorilla Glass 7i,5500 mAh,Var,90 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,32 MP,MediaTek Dimensity 9400+,8 Çekirdek,3 nm,2.393.700 Puan,12 GB,256 GB,7.96 mm,210 Gram,Fiberglass,Var,6.0,Var,Android,Var,IPX8
17343.99,66,6.7 İnç,Super AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus+,5000 mAh,Var,45 W,Yok,50 MP,Var,2160p (Ultra HD) 4K,30 fps,12 MP,Qualcomm Snapdragon 6 Gen 3 (SM6475-AB),8 Çekirdek,4 nm,655.200 Puan,8 GB,256 GB,7.4 mm,195 Gram,Cam,Var,5.4,Var,Android,Var,IPX7
18059.00,69,6.4 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus,4500 mAh,Var,25 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,32 MP,Samsung Exynos 2100,8 Çekirdek,5 nm,941.400 Puan,8 GB,128 GB,7.9 mm,177 Gram,Polimer (Cam Görünümlü),Var,5.0,Var,Android,Var,IPX8
39999.00,77,6.1 İnç,OLED,FHD+,60 Hz,Corning Ceramic Shield Glass,4005 mAh,Var,20 W,Var,48 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A18,6 Çekirdek,3 nm,1.405.700 Puan,8 GB,128 GB,7.8 mm,167 Gram,Cam,Var,5.3,Var,iOS,Var,IPX8
46999.00,87,6.2 İnç,Dynamic AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,4000 mAh,Var,25 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Elite,8 Çekirdek,3 nm,2.193.700 Puan,12 GB,256 GB,7.2 mm,162 Gram,Cam,Var,5.4,Var,Android,Var,IPX8
24960.00,53,6.1 İnç,IPS LCD,HD+,60 Hz,,3110 mAh,Var,20 W,Var,12 MP,Var,2160p (Ultra HD) 4K,60 fps,12 MP,Apple A13 Bionic,6 Çekirdek,7 nm,950.700 Puan,4 GB,64 GB,8.3 mm,194 Gram,Cam,Yok,5.0,Var,iOS,Var,IPX8
18614.30,,6.77 İnç,AMOLED,FHD+,120 Hz,Corning Gorilla Glass Victus 2,6500 mAh,Var,45 W,Yok,200 MP,Var,1080p (Full HD),60 fps,32 MP,MediaTek Helio G200,8 Çekirdek,6 nm,,8 GB,256 GB,7.96 mm,195 Gram,,Yok,5.3,Var,Android,Var,IPX5
40499.00,84,6.7 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Glass Victus 2,4900 mAh,Var,45 W,Var,50 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Samsung Exynos 2400,10 Çekirdek,4 nm,1.827.100 Puan,12 GB,256 GB,7.7 mm,196 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
66480.00,88,6.8 İnç,Dynamic AMOLED,QHD+,120 Hz,Corning Gorilla Armor,5000 mAh,Var,45 W,Var,200 MP,Var,4320p (Ultra HD) 8K,30 fps,12 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),8 Çekirdek,4 nm,2.019.200 Puan,12 GB,256 GB,8.6 mm,232 Gram,Cam,Var,5.3,Var,Android,Var,IPX8
